"sheet_index","raw","code","code_hex","color","flag","first_capture","first_map_x","first_map_y","pixel_hash"
"40","0x983E","6206","0x183E","3","1","capture_0001","19","17","FFA2B0CBFFA2B0CB"
"41","0x183F","6207","0x183F","3","0","capture_0001","0","18","FF5663BAFF5663BA"
"42","0x184D","6221","0x184D","3","0","capture_0001","1","18","FF5663BAFF5663BA"
"43","0x2959","2393","0x0959","5","0","capture_0001","2","18","FF3E4F54FF8792A9"
"44","0x2964","2404","0x0964","5","0","capture_0001","3","18","FF475198FF475198"
"45","0x296F","2415","0x096F","5","0","capture_0001","4","18","FF475198FF475198"
"46","0x4088","136","0x0088","8","0","capture_0001","5","18","FF252F32FF6C7587"
"47","0x4091","145","0x0091","8","0","capture_0001","6","18","FF373F76FF6C7587"
"48","0x5881","6273","0x1881","11","0","capture_0001","7","18","FF0C0F10FF515865"
"49","0x6098","152","0x0098","12","0","capture_0001","8","18","FF000000FF434954"
"50","0x609C","156","0x009C","12","0","capture_0001","9","18","FF434954FF434954"
"51","0xE09C","156","0x009C","12","1","capture_0001","10","18","FF434954FF434954"
"52","0xE098","152","0x0098","12","1","capture_0001","11","18","FF434954FF434954"
"53","0x7827","6183","0x1827","15","0","capture_0001","12","18","FF43311BFF43311B"
"54","0xC091","145","0x0091","8","1","capture_0001","13","18","FF6C7587FF6C7587"
"55","0xC088","136","0x0088","8","1","capture_0001","14","18","FF373F76FF373F76"
"56","0xA96F","2415","0x096F","5","1","capture_0001","15","18","FF8792A9FF8792A9"
"57","0xA964","2404","0x0964","5","1","capture_0001","16","18","FF475198FF475198"
"58","0xA959","2393","0x0959","5","1","capture_0001","17","18","FF475198FF475198"
"59","0x984D","6221","0x184D","3","1","capture_0001","18","18","FFA2B0CBFFA2B0CB"
"60","0x983F","6207","0x183F","3","1","capture_0001","19","18","FF5663BAFF5663BA"
"61","0x0873","2163","0x0873","1","0","capture_0001","20","18","FF060621FF877E6C"
"62","0x087E","2174","0x087E","1","0","capture_0001","21","18","FF877E6CFF4F4F54"
"63","0x1840","6208","0x1840","3","0","capture_0001","0","19","FFA2B0CBFFA2B0CB"
"64","0x184E","6222","0x184E","3","0","capture_0001","1","19","FF5663BAFF5663BA"
"65","0x295A","2394","0x095A","5","0","capture_0001","2","19","FF3E4F54FF8792A9"
"66","0x2965","2405","0x0965","5","0","capture_0001","3","19","FF475198FF475198"
"67","0x2970","2416","0x0970","5","0","capture_0001","4","19","FF475198FF475198"
"68","0x4089","137","0x0089","8","0","capture_0001","5","19","FF252F32FF6C7587"
"69","0x4092","146","0x0092","8","0","capture_0001","6","19","FF6C7587FF6C7587"
"70","0x5882","6274","0x1882","11","0","capture_0001","7","19","FF0C0F10FF272D54"
"71","0x6099","153","0x0099","12","0","capture_0001","8","19","FF000000FF1F2443"
"72","0x609D","157","0x009D","12","0","capture_0001","9","19","FF1F2443FF1F2443"
"73","0xE09D","157","0x009D","12","1","capture_0001","10","19","FF434954FF434954"
"74","0xE099","153","0x0099","12","1","capture_0001","11","19","FF1F2443FF1F2443"
"75","0x7814","6164","0x1814","15","0","capture_0001","12","19","FF000000FF000000"
"76","0xC092","146","0x0092","8","1","capture_0001","13","19","FF373F76FF373F76"
"77","0xC089","137","0x0089","8","1","capture_0001","14","19","FF6C7587FF373F76"
"78","0xA970","2416","0x0970","5","1","capture_0001","15","19","FF8792A9FF8792A9"
"79","0xA965","2405","0x0965","5","1","capture_0001","16","19","FF8792A9FF8792A9"
"80","0xA95A","2394","0x095A","5","1","capture_0001","17","19","FF475198FF475198"
"81","0x984E","6222","0x184E","3","1","capture_0001","18","19","FFA2B0CBFFA2B0CB"
"82","0x9840","6208","0x1840","3","1","capture_0001","19","19","FF5663BAFF5663BA"
"83","0x0874","2164","0x0874","1","0","capture_0001","20","19","FF060621FF4F4F54"
"84","0x087F","2175","0x087F","1","0","capture_0001","21","19","FF4F4F54FF4F4F54"
"85","0x1841","6209","0x1841","3","0","capture_0001","0","20","FFA2B0CBFFA2B0CB"
"86","0x184F","6223","0x184F","3","0","capture_0001","1","20","FF5663BAFF5663BA"
"87","0x295B","2395","0x095B","5","0","capture_0001","2","20","FF3E4F54FF475198"
"88","0x2966","2406","0x0966","5","0","capture_0001","3","20","FF475198FF8792A9"
"89","0x2971","2417","0x0971","5","0","capture_0001","4","20","FF8792A9FF8792A9"
"90","0x408A","138","0x008A","8","0","capture_0001","5","20","FF252F32FF6C7587"
"91","0x4093","147","0x0093","8","0","capture_0001","6","20","FF6C7587FF6C7587"
"92","0x5883","6275","0x1883","11","0","capture_0001","7","20","FF0C0F10FF515865"
"93","0x609A","154","0x009A","12","0","capture_0001","8","20","FF000000FF434954"
"94","0x609E","158","0x009E","12","0","capture_0001","9","20","FF1F2443FF1F2443"
"95","0xE09E","158","0x009E","12","1","capture_0001","10","20","FF434954FF434954"
"96","0xE09A","154","0x009A","12","1","capture_0001","11","20","FF1F2443FF1F2443"
"97","0xF837","6199","0x1837","15","1","capture_0001","12","20","FF000000FF000000"
"98","0xC093","147","0x0093","8","1","capture_0001","13","20","FF6C7587FF6C7587"
"99","0xC08A","138","0x008A","8","1","capture_0001","14","20","FF6C7587FF6C7587"
"100","0xA966","2406","0x0966","5","1","capture_0001","16","20","FF8792A9FF8792A9"
"101","0xA95B","2395","0x095B","5","1","capture_0001","17","20","FF475198FF475198"
"102","0x984F","6223","0x184F","3","1","capture_0001","18","20","FF5663BAFF5663BA"
"103","0x9841","6209","0x1841","3","1","capture_0001","19","20","FF5663BAFF5663BA"
"104","0x0875","2165","0x0875","1","0","capture_0001","20","20","FF060621FF4F4F54"
"105","0x0880","2176","0x0880","1","0","capture_0001","21","20","FF38273EFF060621"
"106","0x1842","6210","0x1842","3","0","capture_0001","0","21","FFA2B0CBFFA2B0CB"
"107","0x295C","2396","0x095C","5","0","capture_0001","2","21","FF3E4F54FF8792A9"
"108","0x2972","2418","0x0972","5","0","capture_0001","4","21","FF8792A9FF8792A9"
"109","0x408B","139","0x008B","8","0","capture_0001","5","21","FF252F32FF373F76"
"110","0x4094","148","0x0094","8","0","capture_0001","6","21","FF6C7587FF6C7587"
"111","0x5884","6276","0x1884","11","0","capture_0001","7","21","FF0C0F10FF515865"
"112","0x609B","155","0x009B","12","0","capture_0001","8","21","FFA97C4FFFA97C4F"
"113","0xF838","6200","0x1838","15","1","capture_0001","12","21","FF876336FF876336"
"114","0xC094","148","0x0094","8","1","capture_0001","13","21","FF6C7587FF373F76"
"115","0xC08B","139","0x008B","8","1","capture_0001","14","21","FF6C7587FF373F76"
"116","0xA972","2418","0x0972","5","1","capture_0001","15","21","FF8792A9FF8792A9"
"117","0xA95C","2396","0x095C","5","1","capture_0001","17","21","FF8792A9FF8792A9"
"118","0x1850","6224","0x1850","3","0","capture_0001","1","22","FFA2B0CBFFA2B0CB"
"119","0x295D","2397","0x095D","5","0","capture_0001","2","22","FF3E4F54FF8792A9"
"120","0x2968","2408","0x0968","5","0","capture_0001","3","22","FF475198FF8792A9"
"121","0x2973","2419","0x0973","5","0","capture_0001","4","22","FF475198FF475198"
"122","0x408C","140","0x008C","8","0","capture_0001","5","22","FF252F32FF6C7587"
"123","0x4095","149","0x0095","8","0","capture_0001","6","22","FF373F76FF6C7587"
"124","0xC095","149","0x0095","8","1","capture_0001","13","22","FF252F32FF6C7587"
"125","0xC08C","140","0x008C","8","1","capture_0001","14","22","FF373F76FF373F76"
"126","0xA973","2419","0x0973","5","1","capture_0001","15","22","FF8792A9FF8792A9"
"127","0xA968","2408","0x0968","5","1","capture_0001","16","22","FF8792A9FF8792A9"
"128","0xA95D","2397","0x095D","5","1","capture_0001","17","22","FF475198FF8792A9"
"129","0x9850","6224","0x1850","3","1","capture_0001","18","22","FFA2B0CBFFA2B0CB"
"130","0x0876","2166","0x0876","1","0","capture_0001","20","22","FF060621FF4F4F54"
"131","0x0881","2177","0x0881","1","0","capture_0001","21","22","FF4F4F54FF4F4F54"
"132","0x1844","6212","0x1844","3","0","capture_0001","0","23","FFA2B0CBFFA2B0CB"
"133","0x1851","6225","0x1851","3","0","capture_0001","1","23","FF5663BAFF5663BA"
"134","0x295E","2398","0x095E","5","0","capture_0001","2","23","FF3E4F54FF475198"
"135","0x2969","2409","0x0969","5","0","capture_0001","3","23","FF475198FF475198"
"136","0x2974","2420","0x0974","5","0","capture_0001","4","23","FF475198FF475198"
"137","0x408D","141","0x008D","8","0","capture_0001","5","23","FF252F32FF6C7587"
"138","0x4096","150","0x0096","8","0","capture_0001","6","23","FFDCA166FFDCA166"
"139","0xC08D","141","0x008D","8","1","capture_0001","14","23","FF252F32FF6C7587"
"140","0xA974","2420","0x0974","5","1","capture_0001","15","23","FF8792A9FF8792A9"
"141","0xA969","2409","0x0969","5","1","capture_0001","16","23","FF475198FF8792A9"
"142","0xA95E","2398","0x095E","5","1","capture_0001","17","23","FF475198FF475198"
"143","0x9851","6225","0x1851","3","1","capture_0001","18","23","FF5663BAFF5663BA"
"144","0x9844","6212","0x1844","3","1","capture_0001","19","23","FF5663BAFFA2B0CB"
"145","0x0877","2167","0x0877","1","0","capture_0001","20","23","FF060621FF877E6C"
"146","0x0882","2178","0x0882","1","0","capture_0001","21","23","FF4F4F54FF4F4F54"
"147","0x1845","6213","0x1845","3","0","capture_0001","0","24","FFA2B0CBFFA2B0CB"
"148","0x295F","2399","0x095F","5","0","capture_0001","2","24","FF3E4F54FF8792A9"
"149","0x296A","2410","0x096A","5","0","capture_0001","3","24","FF475198FF475198"
"150","0x2975","2421","0x0975","5","0","capture_0001","4","24","FF8792A9FF876C6C"
"151","0x400F","15","0x000F","8","0","capture_0001","5","24","FFFEBA76FFFEBA76"
"152","0xA975","2421","0x0975","5","1","capture_0001","15","24","FF3E4F54FF8792A9"
"153","0xA96A","2410","0x096A","5","1","capture_0001","16","24","FF8792A9FF8792A9"
"154","0xA95F","2399","0x095F","5","1","capture_0001","17","24","FF475198FF475198"
"155","0x9845","6213","0x1845","3","1","capture_0001","19","24","FF5663BAFF5663BA"
"156","0x0878","2168","0x0878","1","0","capture_0001","20","24","FF060621FF4F4F54"
"157","0x0883","2179","0x0883","1","0","capture_0001","21","24","FF060621FF000000"
"158","0x1846","6214","0x1846","3","0","capture_0001","0","25","FFA2B0CBFFA2B0CB"
"159","0x1853","6227","0x1853","3","0","capture_0001","1","25","FF5663BAFF5663BA"
"160","0x2960","2400","0x0960","5","0","capture_0001","2","25","FF3E4F54FF8792A9"
"161","0x296B","2411","0x096B","5","0","capture_0001","3","25","FF876C6CFF876C6C"
"162","0xA96B","2411","0x096B","5","1","capture_0001","16","25","FF3E4F54FF8792A9"
"163","0xA960","2400","0x0960","5","1","capture_0001","17","25","FF8792A9FF8792A9"
"164","0x9853","6227","0x1853","3","1","capture_0001","18","25","FFA2B0CBFFA2B0CB"
"165","0x9846","6214","0x1846","3","1","capture_0001","19","25","FF5663BAFF5663BA"
"166","0x1847","6215","0x1847","3","0","capture_0001","0","26","FF5663BAFF5663BA"
"167","0x1854","6228","0x1854","3","0","capture_0001","1","26","FF5663BAFF5663BA"
"168","0x2961","2401","0x0961","5","0","capture_0001","2","26","FF3E4F54FF876C6C"
"169","0x296C","2412","0x096C","5","0","capture_0001","3","26","FFFEBA76FFFEBA76"
"170","0xA961","2401","0x0961","5","1","capture_0001","17","26","FF3E4F54FF8792A9"
"171","0x9854","6228","0x1854","3","1","capture_0001","18","26","FFA2B0CBFFA2B0CB"
"172","0x9847","6215","0x1847","3","1","capture_0001","19","26","FF5663BAFF5663BA"
"173","0x0879","2169","0x0879","1","0","capture_0001","20","26","FF060621FF4F4F54"
"174","0x1848","6216","0x1848","3","0","capture_0001","0","27","FF5663BAFF5663BA"
"175","0x1855","6229","0x1855","3","0","capture_0001","1","27","FFA98787FFA98787"
"176","0x9855","6229","0x1855","3","1","capture_0001","18","27","FF566E76FFA2B0CB"
"177","0x9848","6216","0x1848","3","1","capture_0001","19","27","FFA98787FFA2B0CB"
"178","0x087A","2170","0x087A","1","0","capture_0001","20","27","FF060621FF4F4F54"
"179","0x0884","2180","0x0884","1","0","capture_0001","21","27","FF4F4F54FF4F4F54"
"180","0x1849","6217","0x1849","3","0","capture_0001","0","28","FFA98787FFA98787"
"181","0x9849","6217","0x1849","3","1","capture_0001","19","28","FF566E76FFA2B0CB"
"182","0x087B","2171","0x087B","1","0","capture_0001","20","29","FF060621FF877E6C"
"183","0x0885","2181","0x0885","1","0","capture_0001","21","29","FF877E6CFF4F4F54"
"184","0xF82D","6189","0x182D","15","1","capture_0003","14","16","FF876336FF876336"
"185","0x4977","2423","0x0977","9","0","capture_0003","7","17","FF654A28FF654A28"
"186","0x497D","2429","0x097D","9","0","capture_0003","8","17","FF654A28FF654A28"
"187","0xC977","2423","0x0977","9","1","capture_0003","12","17","FF654A28FF654A28"
"188","0xF832","6194","0x1832","15","1","capture_0003","13","17","FF654A28FF654A28"
"189","0xF82E","6190","0x182E","15","1","capture_0003","14","17","FF654A28FF654A28"
"190","0x4978","2424","0x0978","9","0","capture_0003","7","18","FF181F21FF5E6676"
"191","0x497E","2430","0x097E","9","0","capture_0003","8","18","FF5E6676FF5E6676"
"192","0x4982","2434","0x0982","9","0","capture_0003","9","18","FF5E6676FF5E6676"
"193","0xC982","2434","0x0982","9","1","capture_0003","10","18","FF5E6676FF5E6676"
"194","0xC978","2424","0x0978","9","1","capture_0003","12","18","FF5E6676FF5E6676"
"195","0x4979","2425","0x0979","9","0","capture_0003","7","19","FF181F21FF2F3665"
"196","0x497F","2431","0x097F","9","0","capture_0003","8","19","FF2F3665FF2F3665"
"197","0x4983","2435","0x0983","9","0","capture_0003","9","19","FF2F3665FF5E6676"
"198","0xC983","2435","0x0983","9","1","capture_0003","10","19","FF5E6676FF5E6676"
"199","0xC97F","2431","0x097F","9","1","capture_0003","11","19","FF2F3665FF2F3665"
"200","0xC979","2425","0x0979","9","1","capture_0003","12","19","FF2F3665FF2F3665"
"201","0x497A","2426","0x097A","9","0","capture_0003","7","20","FF181F21FF5E6676"
"202","0x4984","2436","0x0984","9","0","capture_0003","9","20","FF5E6676FF5E6676"
"203","0xC984","2436","0x0984","9","1","capture_0003","10","20","FF5E6676FF5E6676"
"204","0xC97A","2426","0x097A","9","1","capture_0003","12","20","FF5E6676FF5E6676"
"205","0xF833","6195","0x1833","15","1","capture_0003","13","20","FF000000FF000000"
"206","0xF82F","6191","0x182F","15","1","capture_0003","14","20","FF000000FF000000"
"207","0x497B","2427","0x097B","9","0","capture_0003","7","21","FF181F21FF5E6676"
"208","0x4981","2433","0x0981","9","0","capture_0003","8","21","FF2F3665FF2F3665"
"209","0xC97B","2427","0x097B","9","1","capture_0003","12","21","FF2F3665FF5E6676"
"210","0xF834","6196","0x1834","15","1","capture_0003","13","21","FF876336FF876336"
"211","0xF830","6192","0x1830","15","1","capture_0003","14","21","FF876336FF876336"
"212","0xF835","6197","0x1835","15","1","capture_0003","13","22","FF876336FFDCA166"
"213","0xF831","6193","0x1831","15","1","capture_0003","14","23","FF876336FFDCA166"
"214","0x207F","127","0x007F","4","0","capture_0004","0","15","FFDCA166FFDCA166"
"215","0x2085","133","0x0085","4","0","capture_0004","1","15","FFDCA166FFDCA166"
"216","0x2050","80","0x0050","4","0","capture_0004","2","15","FFDCA166FFDCA166"
"217","0xA050","80","0x0050","4","1","capture_0004","17","15","FFDCA166FFDCA166"
"218","0xA085","133","0x0085","4","1","capture_0004","18","15","FFDCA166FFDCA166"
"219","0xA07F","127","0x007F","4","1","capture_0004","19","15","FFDCA166FFDCA166"
"220","0x205A","90","0x005A","4","0","capture_0004","0","16","FF4A5E65FF4A5E65"
"221","0x2051","81","0x0051","4","0","capture_0004","2","16","FF4A5E65FF4A5E65"
"222","0xA051","81","0x0051","4","1","capture_0004","17","16","FF4A5E65FF4A5E65"
"223","0x205B","91","0x005B","4","0","capture_0004","0","17","FF95A1BAFF95A1BA"
"224","0x2052","82","0x0052","4","0","capture_0004","2","17","FF4A5E65FF95A1BA"
"225","0x2062","98","0x0062","4","0","capture_0004","4","17","FF95A1BAFF95A1BA"
"226","0x2068","104","0x0068","4","0","capture_0004","5","17","FF95A1BAFF95A1BA"
"227","0xA062","98","0x0062","4","1","capture_0004","15","17","FF95A1BAFF95A1BA"
"228","0xA052","82","0x0052","4","1","capture_0004","17","17","FF95A1BAFF95A1BA"
"229","0x2080","128","0x0080","4","0","capture_0004","0","18","FF95A1BAFF95A1BA"
"230","0x2063","99","0x0063","4","0","capture_0004","4","18","FF95A1BAFF95A1BA"
"231","0x2007","7","0x0007","4","0","capture_0004","5","18","FF4F5AA9FF4F5AA9"
"232","0x2074","116","0x0074","4","0","capture_0004","7","18","FF4F5AA9FF4F5AA9"
"233","0x207B","123","0x007B","4","0","capture_0004","8","18","FF4F5AA9FF4F5AA9"
"234","0xA074","116","0x0074","4","1","capture_0004","12","18","FF4F5AA9FF4F5AA9"
"235","0xA063","99","0x0063","4","1","capture_0004","15","18","FF4F5AA9FF4F5AA9"
"236","0xA080","128","0x0080","4","1","capture_0004","19","18","FF95A1BAFF95A1BA"
"237","0x2081","129","0x0081","4","0","capture_0004","0","19","FF4F5AA9FF95A1BA"
"238","0x2054","84","0x0054","4","0","capture_0004","2","19","FF4A5E65FF95A1BA"
"239","0x2075","117","0x0075","4","0","capture_0004","7","19","FF4F5AA9FF4F5AA9"
"240","0xA075","117","0x0075","4","1","capture_0004","12","19","FF95A1BAFF4F5AA9"
"241","0xA054","84","0x0054","4","1","capture_0004","17","19","FF95A1BAFF95A1BA"
"242","0xA081","129","0x0081","4","1","capture_0004","19","19","FF95A1BAFF95A1BA"
"243","0x2055","85","0x0055","4","0","capture_0004","2","20","FF4A5E65FF4F5AA9"
"244","0x2076","118","0x0076","4","0","capture_0004","7","20","FF4F5AA9FF4F5AA9"
"245","0xA076","118","0x0076","4","1","capture_0004","12","20","FF95A1BAFF95A1BA"
"246","0xA055","85","0x0055","4","1","capture_0004","17","20","FF4F5AA9FF4F5AA9"
"247","0x2082","130","0x0082","4","0","capture_0004","0","23","FF4F5AA9FF4F5AA9"
"248","0x2079","121","0x0079","4","0","capture_0004","7","23","FF4F5AA9FF4F5AA9"
"249","0xA079","121","0x0079","4","1","capture_0004","12","23","FF95A1BAFF95A1BA"
"250","0xA082","130","0x0082","4","1","capture_0004","19","23","FF4F5AA9FF4F5AA9"
"251","0x2083","131","0x0083","4","0","capture_0004","0","24","FF4F5AA9FF95A1BA"
"252","0x2066","102","0x0066","4","0","capture_0004","4","24","FF4F5AA9FF4F5AA9"
"253","0x207A","122","0x007A","4","0","capture_0004","7","24","FF4F5AA9FF4F5AA9"
"254","0xA07A","122","0x007A","4","1","capture_0004","12","24","FF95A1BAFF4F5AA9"
"255","0xA066","102","0x0066","4","1","capture_0004","15","24","FF4F5AA9FF4F5AA9"
"256","0xA083","131","0x0083","4","1","capture_0004","19","24","FF95A1BAFF95A1BA"
"257","0x2061","97","0x0061","4","0","capture_0004","0","26","FF987979FF987979"
"258","0x2059","89","0x0059","4","0","capture_0004","2","26","FF4A5E65FF987979"
"259","0xA059","89","0x0059","4","1","capture_0004","17","26","FF987979FF987979"
"260","0x2084","132","0x0084","4","0","capture_0004","1","27","FFFEBA76FFFEBA76"
"261","0xA084","132","0x0084","4","1","capture_0004","18","27","FFA97C4FFFFEBA76"
"262","0x1B7B","7035","0x1B7B","3","0","capture_0008","0","15","FFDCA166FFDCA166"
"263","0x1B87","7047","0x1B87","3","0","capture_0008","1","15","FFDCA166FFDCA166"
"264","0x1B93","7059","0x1B93","3","0","capture_0008","2","15","FFDCA166FFDCA166"
"265","0x19EE","6638","0x19EE","3","0","capture_0008","3","15","FFDCA166FFDCA166"
"266","0x9B93","7059","0x1B93","3","1","capture_0008","17","15","FFDCA166FFDCA166"
"267","0x9B87","7047","0x1B87","3","1","capture_0008","18","15","FFDCA166FFDCA166"
"268","0x9B7B","7035","0x1B7B","3","1","capture_0008","19","15","FFDCA166FFDCA166"
"269","0x1B7C","7036","0x1B7C","3","0","capture_0008","0","16","FFA98787FFA98787"
"270","0x1B88","7048","0x1B88","3","0","capture_0008","1","16","FFA98787FFA2B0CB"
"271","0x1B94","7060","0x1B94","3","0","capture_0008","2","16","FFA2B0CBFF566E76"
"272","0x1B9F","7071","0x1B9F","3","0","capture_0008","3","16","FFA97C4FFFA97C4F"
"273","0x2B7A","2938","0x0B7A","5","0","capture_0008","4","16","FFA97C4FFFA97C4F"
"274","0x2B83","2947","0x0B83","5","0","capture_0008","5","16","FFA97C4FFFA97C4F"
"275","0x2A27","2599","0x0A27","5","0","capture_0008","6","16","FFA97C4FFFA97C4F"
"276","0xFB70","7024","0x1B70","15","1","capture_0008","14","16","FFA97C4FFFA97C4F"
"277","0xFB6D","7021","0x1B6D","15","1","capture_0008","15","16","FFA97C4FFFA97C4F"
"278","0x9B9F","7071","0x1B9F","3","1","capture_0008","16","16","FFA97C4FFFA97C4F"
"279","0x9B94","7060","0x1B94","3","1","capture_0008","17","16","FFA97C4FFFA97C4F"
"280","0x9B88","7048","0x1B88","3","1","capture_0008","18","16","FFA2B0CBFFA2B0CB"
"281","0x9B7C","7036","0x1B7C","3","1","capture_0008","19","16","FFA98787FFA98787"
"282","0x1B7D","7037","0x1B7D","3","0","capture_0008","0","17","FFA2B0CBFFA2B0CB"
"283","0x1B89","7049","0x1B89","3","0","capture_0008","1","17","FFA2B0CBFFA2B0CB"
"284","0x1B95","7061","0x1B95","3","0","capture_0008","2","17","FFA2B0CBFFA2B0CB"
"285","0x1BA0","7072","0x1BA0","3","0","capture_0008","3","17","FFA98787FFA98787"
"286","0x2B7B","2939","0x0B7B","5","0","capture_0008","4","17","FF8792A9FF8792A9"
"287","0x2B84","2948","0x0B84","5","0","capture_0008","5","17","FF8792A9FF8792A9"
"288","0x2B8C","2956","0x0B8C","5","0","capture_0008","6","17","FF876336FF876336"
"289","0x3BA9","7081","0x1BA9","7","0","capture_0008","7","17","FF876336FF876336"
"290","0xBC46","7238","0x1C46","7","1","capture_0008","13","17","FF876336FF876336"
"291","0xFB71","7025","0x1B71","15","1","capture_0008","14","17","FF876336FF876336"
"292","0x7B69","7017","0x1B69","15","0","capture_0008","15","17","FF876336FF876336"
"293","0x9BA0","7072","0x1BA0","3","1","capture_0008","16","17","FFA98787FFA98787"
"294","0x9B95","7061","0x1B95","3","1","capture_0008","17","17","FFA98787FFA2B0CB"
"295","0x9B89","7049","0x1B89","3","1","capture_0008","18","17","FFA2B0CBFFA2B0CB"
"296","0x9B7D","7037","0x1B7D","3","1","capture_0008","19","17","FFA2B0CBFFA2B0CB"
"297","0x1B7E","7038","0x1B7E","3","0","capture_0008","0","18","FFA2B0CBFFA2B0CB"
"298","0x1B8A","7050","0x1B8A","3","0","capture_0008","1","18","FF5663BAFF5663BA"
"299","0x1B96","7062","0x1B96","3","0","capture_0008","2","18","FF5663BAFF5663BA"
"300","0x1BA1","7073","0x1BA1","3","0","capture_0008","3","18","FF5663BAFF5663BA"
"301","0x2B7C","2940","0x0B7C","5","0","capture_0008","4","18","FF8792A9FF8792A9"
"302","0x2B85","2949","0x0B85","5","0","capture_0008","5","18","FF475198FF475198"
"303","0x2B8D","2957","0x0B8D","5","0","capture_0008","6","18","FF8792A9FF8792A9"
"304","0x3BAA","7082","0x1BAA","7","0","capture_0008","7","18","FF798498FF798498"
"305","0x3BAE","7086","0x1BAE","7","0","capture_0008","8","18","FF798498FF798498"
"306","0x3BB2","7090","0x1BB2","7","0","capture_0008","9","18","FF798498FF798498"
"307","0xBBAA","7082","0x1BAA","7","1","capture_0008","12","18","FF798498FF798498"
"308","0xBC47","7239","0x1C47","7","1","capture_0008","13","18","FF798498FF798498"
"309","0x9BA1","7073","0x1BA1","3","1","capture_0008","16","18","FFA2B0CBFFA2B0CB"
"310","0x9B96","7062","0x1B96","3","1","capture_0008","17","18","FF5663BAFF5663BA"
"311","0x9B8A","7050","0x1B8A","3","1","capture_0008","18","18","FF5663BAFF5663BA"
"312","0x9B7E","7038","0x1B7E","3","1","capture_0008","19","18","FF5663BAFF5663BA"
"313","0x1B7F","7039","0x1B7F","3","0","capture_0008","0","19","FFA2B0CBFFA2B0CB"
